Route_name,Source,Destination,No_of_Stops_between_Source_to_Dest_including_Src_and_Dest,Total_number_of_Bus_Stops,Percentage_of_Bus_Stops_in_between,Maximum_number_of_Tickets_Sold,Total_Tickets_Sold,Pecentage_of_Tickets_Sold
GNK-D35DN,GNKL Ganakal (Towards Peddanapalya),D35G Depot-35 Gate,2,2,100.0,1,1,100.0
BEL-HPNUP,YTG Yeshwanthpura TolGate,YTTMC Yashawanthapura TTMC,2,3,66.66667,6,7,85.71429
D31G-BSN3SUP,KHB1 KHB Colony,HVNRC Havanur Circle (Towards Rajajinagara),2,2,100.0,12,12,100.0
CND-KLNDN,HRMU Horamavu ,BPSPY Babusabpalya (Towards Hebbala),2,2,100.0,1,1,100.0
126-ADN,COXTN Cox Town,SBS0 Shivajinagara Bus Station,3,3,100.0,8,8,100.0
OST-KLNDN,OSTVLO Om Shakthi Temple,BPSPY Babusabpalya (Towards Hebbala),2,2,100.0,5,5,100.0
PSS-TATUP,JLCR1 Jalahalli Cross,MF Marison Factory,2,2,100.0,1,1,100.0
ELC2S-KGRDN,PESC3 PES College,KGR2 Kengeri TTMC,5,5,100.0,1,1,100.0
144BUP,ASTWN2 Austin Town Neelasandra,ANPY1 Anepalya,2,2,100.0,1,1,100.0
ASK-RVTUP,KNGHL Cross Kenganahalli,RVTH Ravuthanahalli,2,2,100.0,1,1,100.0
356-CW-FLYUP,SIA1 SI Apartment HSR Layout,ELCWG ELC Wipro Gate,6,7,85.71429,2083,2127,97.93136
32UP,RMDC Richmond Circle,NRCN NR Colony,2,2,100.0,2,2,100.0
HRH-D38UP,HUSK Huskur (Towards Chikkanagamangala Gate),D38CHNH Depot-38 Gate,2,2,100.0,3,3,100.0
D35-KVH 242TBUP,D35G Depot-35 Gate,KNVNHL2 Kanuvanahalli,2,2,100.0,1,1,100.0
JGF-BSNDN,KGR1 Kengeri TTMC,NDH1 Nayandahalli,2,2,100.0,2,2,100.0
NICE-1AUP,BLKLLI Bilekahalli,INFLT1 Infosys Parking Lot,2,2,100.0,31,31,100.0
MLS-PSSDN,JHC4 Jalahalli Cross,NTFPYA NTTF Peenya,2,2,100.0,8,8,100.0
HNG-D35DN,CNDSP Channadasipalya,CNHL1 Channenahalli (Towards Gollarahatti),3,3,100.0,1,1,100.0
181UP,JBS4th Jayanagara 4th Block,JYNGR9B 9th Block Jayanagara (40th Cross),2,4,50.0,10,13,76.92308
ATB-HSSDN,CPR2 Chandapura (Towards Dommasandra),RAMSGR Ramasagara,2,2,100.0,1,1,100.0
