Route_name,Source,Destination,No_of_Stops_between_Source_to_Dest_including_Src_and_Dest,Total_number_of_Bus_Stops,Percentage_of_Bus_Stops_in_between,Maximum_number_of_Tickets_Sold,Total_Tickets_Sold,Pecentage_of_Tickets_Sold
V-600KCDN,ROPAG Rupena Agrahara,RGGD Ragigudda Temple,3,4,75.0,16,31,51.6129
300-HDN,BNSWD Banasawadi (Towards Shivajinagara),KBS123 Kempegowda Bus Station,11,17,64.70589,262,1687,15.530528
SBS-NES-PTHUP,RTNPS2 Police Station RT Nagara ,HBL Hebbala (Towards Yalahanka),2,7,28.57143,6,16,37.5
276-NDN,KDRNH Kadirenahalli,BSKTTMC0 Banashankari TTMC,2,13,15.384616,28,82,34.146343
304-QDN,CNSA Channasandra (Towards Hope Farm),HOFM Hope Farm (Towards ITPL),2,25,8.0,118,1593,7.4074073
KRMTTMC-BGRUP,MDWMK Madivala,BGUATB Beguru (Towards Beguru),5,7,71.42857,27,121,22.314049
350DN,MDWL1 Madivala,KMT1 KR Market (Kalasipalya),10,24,41.666664,10,147,6.8027215
410-FCUP,SMH3 Summanahalli,MLGLC Malagala Cross,2,4,50.0,81,228,35.526314
381CUP,HSKTBTP Hoskote Bus Stand,SLB1 Sulibele,7,16,43.75,860,4043,21.271334
KDG-UTHDN,MTBH-2 Marathahalli Bridge,BTM16th 16th Main BTM Layout ,10,22,45.454548,25,308,8.116883
54-EDN,SRSC5 Sirsi Circle,KRMRKT KR Market,2,5,40.0,224,656,34.146343
D10-NGVR-JJNUP,KDGH23 Kadugondanahalli Police Station,KMT2 KR Market,8,10,80.0,85,447,19.01566
DVHOB-YHKOTUP,CKHJ Chikkajala,YHK Yelahanka Old Town,5,8,62.5,2,6,33.333336
BMEH-KBSDN,BTH-1 Bhattarahalli,TIF Tin Factory,3,14,21.428572,22,311,7.073955
KIAS-5AUP,JTTMC Jayanagara TTMC,KIAS Kempegowda International Airport,10,14,71.42857,26,169,15.384616
250-AADN,JNPA Janapriya Apartment,JHC3 Jalahalli Cross,4,14,28.57143,92,1072,8.582089
KLN-AMTUP,KALG Kalyananagara,KRPGH KR Puram Govt Hospital,2,3,66.66667,3,5,60.000004
DSH-YTTMCDN,HBLB1 Hebbala Bridge (Towards BEL Circle),YTTMC Yashawanthapura TTMC,5,6,83.33333,13,41,31.707317
301-RDN,AVH Avalahalli (Towards Bhattarahalli),KRPRST KR Puram Railway Station,4,6,66.66667,3,11,27.272728
143-AUP,CRP12 Corporation (Towards Subbiah Circle),NLSB1 Neelasandra Bus Stand,4,7,57.14286,49,230,21.304348
291DN,KRM4 KR Market,NGW Nagavara,8,10,80.0,186,634,29.33754
ELC-KDGUP,VRTBS Varthuru,VRTKD1 Varthur kodi,2,12,16.666668,7,26,26.923079
AS-14UP,BSK1 Banashankari Bus Station (Towards Konanakunte Cross),KKC Konanakunte Cross,3,6,50.0,202,710,28.450703
242UP,KMT1 KR Market (Kalasipalya),MGDTG Magadi Road TollGate ,4,16,25.0,171,2271,7.5297227
KBS-VRP-PTHUP,KBS1 Kempegowda Bus Station,VPRA Vidyaranyapura,10,12,83.33333,47,337,13.946587
D21-KHBQUP,IAHF1 Indo American Hybrid Farm,KGR2 Kengeri TTMC,2,2,100.0,1,1,100.0
GKW-VJNDN,GKW0 GKW Layout,VJN2 Vijayanagara,2,2,100.0,1,1,100.0
505UP,BMH2 Bommanahalli (Towards Electronic City),KDG Kudlu Gate,2,6,33.333336,8,47,17.021276
336-BUP,KBS1 Kempegowda Bus Station,HALMG HAL Main Gate (Towards Marathahalli Bridge),9,13,69.230774,48,372,12.903225
221-HUP,KMT1 KR Market (Kalasipalya),NDH Nayandahalli,3,13,23.076923,104,544,19.117647
329-GDN,KDGATE Kundalahalli Gate,MRHLLI Marathahalli,2,17,11.764706,36,707,5.0919375
87-ADN,MGDTLG Magadi Road TollGate ,KBS123 Kempegowda Bus Station,3,5,60.000004,76,272,27.941175
301DN,AYPTL1 Subbayanapalya,KRM4 KR Market,8,11,72.72727,95,631,15.055468
89-EUP,KBS1 Kempegowda Bus Station,KRBRHL Kurubarahalli,6,7,85.71429,588,3269,17.987152
239-BUP,NDH Nayandahalli,RRT RR Temple,2,11,18.181818,38,149,25.503355
315-EDN,KRPM KR Puram Market,TIF Tin Factory,3,17,17.647058,204,842,24.22803
287-AUP,RTN12 Police Station RT Nagara ,HBL Hebbala (Towards Yalahanka),3,10,30.000002,363,1413,25.690022
SVG-KBSDN,BGLG1 Bagalagunte (Towards 8th Mile),JHC3 Jalahalli Cross,2,12,16.666668,35,436,8.027523
BSK-MTRPUP,BSKTTMC1 Banashankari TTMC,RGHL Raghuvanahalli Cross,4,14,28.57143,19,144,13.194445
HAL LCA-SBSDN,MGR-2 MG Road Metro Station,SBS1 Shivajinagara Bus Station,2,5,40.0,19,45,42.22222
SBS-SJP G-2DN,KRMPPO Passport Office Koramangala ,SNYW Sony World 80ft Road  Koramangala,2,15,13.333334,19,236,8.050848
215BBUP,BSKTTMC1 Banashankari TTMC,ANP3 Anjanapura,6,6,100.0,295,1475,20.0
MYS-SBS 227ADN,KGR1 Kengeri TTMC,RVCL RV College,2,17,11.764706,33,266,12.406015
RPO-KMTUP,RSNDN Neelasandra Rose Garden,KRMC1 KR Market,5,5,100.0,5,15,33.333336
36DN,SNR Srinagara Bus Station,KBS123 Kempegowda Bus Station,7,7,100.0,844,2974,28.379288
KGR-TTH 228BUP,KMBLGD2 Kumbalagodu,TGCKP1 Thagachaguppe,2,9,22.222223,29,95,30.526316
KLR-KGR-KBSUP,NDH1 Nayandahalli,BPN Bapujinagara,2,17,11.764706,33,748,4.4117646
PSS-BELFUP,JHC2 Jalahalli Cross,KMGH Kammagondanahalli Bridge,2,5,40.0,4,8,50.0
254-DUP,JHC Jalahalli Cross,BGLG Bagalagunte (Towards Chikkabanavara),2,14,14.285715,133,1040,12.788461
346-NUP,CRP12 Corporation (Towards Subbiah Circle),BMH2 Bommanahalli (Towards Electronic City),9,16,56.25,10,147,6.8027215
301-ADN,MRTSVNG Maruthi Sevanagara,KRM4 KR Market,11,12,91.66667,18,45,40.0
SBS-HST-234AUP,NDH Nayandahalli,VPS Vidyaniketan Public School,4,11,36.363636,21,181,11.60221
293-DUP,KRM4 KR Market,KARCH1 Kacharakanahalli,8,21,38.095238,50,432,11.574074
256-MBUP,NMG0 Nelamangala Bus Station,moth Motaganahalli,8,24,33.333336,27,215,12.55814
375UP,JTTMC Jayanagara TTMC,BSK Banashankari Bus Station (Towards Kadirenahalli),2,15,13.333334,602,4086,14.733235
SGH-GRN2UP,MNTYP Monotype Corporation,KMT13 Depot-13 Gate,2,3,66.66667,1,2,50.0
314DN,HLS Halasuru,SBS1 Shivajinagara Bus Station,3,10,30.000002,466,2501,18.632547
122UP,KBS1 Kempegowda Bus Station,MHC Maharanis College,2,7,28.57143,8,35,22.857143
226-VAUP,KMT1 KR Market (Kalasipalya),BDD Bidadi,15,19,78.94737,72,841,8.561236
JGF-KHCDN,VJNGRAA Vijayanagara,KHB KHB Colony,7,7,100.0,1,1,100.0
315-VDN,RMRTYGRA B Channasandra Bridge (Towards Tin Factory),ISOLH Isolation Hospital,2,5,40.0,4,12,33.333336
